b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -170.88028741131623, l = 61.28168807893619, h = -6379818.610504391
b = -101.28096949766638, l = 95.55195743948158, h = -6407476.695404279
b = -100.3045007004246, l = 4.662439521256915, h = -6401999.936331134
b = 178.61076707519533, l = -168.2966307471534, h = -6380686.172881544
b = -179.58737554281808, l = -30.714272046085686, h = -6379286.236574207
b = 178.78211664680424, l = -56.568266653521604, h = -6381224.245765512
b = -91.44958396542432, l = -87.66810565929758, h = -6436789.684587008
b = 109.64252161067847, l = 134.37322934284117, h = -6399331.191141747
b = 91.65996919663256, l = -164.4679420659085, h = -6420891.91087211
b = 179.95478169974177, l = 167.70335531307933, h = -6380766.7350472165
b = -178.79666539855907, l = -111.00337031412664, h = -6380800.1796034705
b = -169.00631378322564, l = 62.38153572026544, h = -6380037.567586402
b = -101.18673218221002, l = 95.57986074741547, h = -6407557.583463874
b = -99.83484554001555, l = 2.512252523051084, h = -6402270.246389727
b = 178.7559465122384, l = -168.48861103555467, h = -6380672.128044073
b = -179.58520350270098, l = -32.17578351511902, h = -6379287.592487996
b = 178.73801077924062, l = -56.6338386210134, h = -6381228.135923355
b = -91.70851243537359, l = -88.94407669732611, h = -6432171.579917967
b = 108.22520306306365, l = 135.57775589935886, h = -6399725.233562945
b = 91.94235464113933, l = -165.04554688439546, h = -6418524.118568704
b = 179.98420548539593, l = 167.46513466041006, h = -6380773.597299281
b = -178.84137847269756, l = -111.70492680853624, h = -6380801.678049762
b = -166.77854608192374, l = 63.523289528905245, h = -6380359.462665492
b = -101.0906664462701, l = 95.59529688425019, h = -6407638.52226725
b = -99.45729179053254, l = 0.4095965544331063, h = -6402518.974878322
b = 178.89029382001095, l = -168.67329804310415, h = -6380658.21881294
b = -179.58529602227722, l = -33.653903359783456, h = -6379289.409630677
b = 178.69208878766335, l = -56.70122374475385, h = -6381231.3753593955
b = -91.99449668979005, l = -90.16172452439301, h = -6428375.350718204
b = 106.88466943929872, l = 136.90458801759843, h = -6400086.306265436
b = 92.25525954142589, l = -165.61905305516868, h = -6416525.225806194
b = -179.98594958740566, l = 167.22333951231946, h = -6380780.034119094
b = -178.88340067198814, l = -112.40307297000409, h = -6380803.147860478
b = -164.14570025981553, l = 64.71057326987373, h = -6380821.247799174
b = -100.99273644176263, l = 95.59791127770517, h = -6407719.564613939
b = -99.15797409527472, l = -1.6396614561903853, h = -6402747.4319009455
b = 179.0142757375898, l = -168.85034903718292, h = -6380644.357357855
b = -179.58760157251677, l = -35.14794330477179, h = -6379291.70881454
b = 178.64428625753345, l = -56.770566240934976, h = -6381233.9774722215
b = -92.30939629000653, l = -91.32621346385064, h = -6425206.4577134
b = 105.62510771820087, l = 138.36594237673634, h = -6400415.721688861
b = 92.60122970015223, l = -166.188384150951, h = -6414815.982008587
b = -179.95551190082605, l = 166.97756398015596, h = -6380786.031363116
b = -178.9228839225442, l = -113.09799924913784, h = -6380804.577434954
b = -161.06318271908833, l = 65.94657364506767, h = -6381466.679748407
b = -100.89308121147405, l = 95.58766048120866, h = -6407800.605467304
b = -98.92542520440583, l = -3.6326493417808776, h = -6402956.546102584
b = 179.12851459568384, l = -169.01985943820145, h = -6380630.508938316
b = -179.5920814120043, l = -36.656052953463465, h = -6379294.507465654
b = 178.59448753798756, l = -56.84180870139556, h = -6381235.94027022
b = -92.65539458094645, l = -92.44108751576103, h = -6422524.75898247
b = 104.44989337619458, l = 139.97773314071716, h = -6400715.007675641
b = 92.9829067616108, l = -166.75349674952196, h = -6413338.430863046
b = -179.92428092785048, l = 166.7279153181344, h = -6380791.590424064
b = -178.95996877415146, l = -113.78969998218902, h = -6380805.9521985445
b = -157.4955705444073, l = 67.23500512133373, h = -6382343.480327951
b = -100.79137426828102, l = 95.56518345626944, h = -6407881.94235554
b = -98.75132894586292, l = -5.5662419978981, h = -6403146.619050496
b = 179.23350460156058, l = -169.18173926261304, h = -6380616.609123636
b = -179.59867597404823, l = -38.17651091985003, h = -6379297.849409914
b = 178.54261530335344, l = -56.91525551113847, h = -6381237.272749022
b = -93.03441577329204, l = -93.51066882347996, h = -6420230.460632705
b = 103.36166139427935, l = 141.75533929655307, h = -6400985.688248205
b = 93.40320658437176, l = -167.31454411512416, h = -6412048.450795731
b = -179.8920263618068, l = 166.47475541259485, h = -6380796.720412299
b = -178.9947479801063, l = -114.47797923370382, h = -6380807.254478611
b = -153.42977241187506, l = 68.5810207228734, h = -6383494.485252172
b = -100.68774083832291, l = 95.5300550473317, h = -6407963.485977657
b = -98.62816538741316, l = -7.4391914324134145, h = -6403318.102504448
b = 179.32980462226706, l = -169.33575112740485, h = -6380602.621068581
b = -179.6072800305211, l = -39.707986474389955, h = -6379301.747673615
b = 178.48858682870184, l = -56.99095661700371, h = -6381237.981560967
b = -93.44882926082303, l = -94.53878626326774, h = -6418246.941841136
b = 102.3632930422084, l = 143.7145767593994, h = -6401228.764454743
b = 93.86519444978158, l = -167.87133883728907, h = -6410911.848543284
b = -179.8585010489564, l = 166.21797322226007, h = -6380801.425673821
b = -179.02735602356265, l = -115.16305238484838, h = -6380808.496729314
b = -148.88845101808238, l = 69.9882256116766, h = -6384943.381065954
b = -100.58224789996113, l = 95.48246713765691, h = -6408045.2657991005
b = -98.55010035740685, l = -9.250764865999512, h = -6403471.357807811
b = 179.41801290424402, l = -169.48160117980402, h = -6380588.5040934365
b = -179.61772173274542, l = -41.24848650155258, h = -6379306.230070724
b = 178.43226596008805, l = -57.06886404453854, h = -6381238.066581138
b = -93.90085070120611, l = -95.5284932783167, h = -6416516.8296059845
b = 101.4588971154522, l = 145.87529195417392, h = -6401444.327347129
b = 94.37222737365765, l = -168.42264310913882, h = -6409901.760996139
b = -179.8234711684602, l = 165.95766371829177, h = -6380805.70870011
b = -179.0579000158289, l = -115.84471388468067, h = -6380809.639081077
b = -143.94083879949912, l = 71.4614071664371, h = -6386677.669991366
b = -100.47449483946278, l = 95.42234883298875, h = -6408127.614448293
b = -98.51221090079692, l = -10.998364241656885, h = -6403606.760341546
b = 179.4986837695869, l = -169.61944547125438, h = -6380574.2200499335
b = -179.62984425012002, l = -42.79660563961675, h = -6379311.307539966
b = 178.37360671542044, l = -57.149135335143896, h = -6381237.543068577
b = -94.39295646384373, l = -96.48249713739581, h = -6414994.906258127
b = 100.65043104792387, l = 148.25191743388123, h = -6401632.437285657
b = 94.9280485711903, l = -168.9700974353682, h = -6408996.1738230875
b = -179.78663859789503, l = 165.69370956317786, h = -6380809.575092964
b = -179.0864302252774, l = -116.52308075761468, h = -6380810.704774034
b = -138.70674335269612, l = 73.00681117434787, h = -6388636.302559875
b = -100.36468640514228, l = 95.34950635938768, h = -6408210.433916294
b = -98.5100422902506, l = -12.684342492041585, h = -6403725.047722224
b = 179.572447260093, l = -169.74882354192246, h = -6380559.760567038
b = -179.6434391224393, l = -44.35027091733634, h = -6379317.018917805
b = 178.31246715701073, l = -57.23208713552429, h = -6381236.423544074
b = -94.9274706878145, l = -97.40382615229453, h = -6413645.981910141
b = 99.9416888203216, l = 150.863583261023, h = -6401791.664292718
b = 95.5362532592433, l = -169.51211754580225, h = -6408177.61937305
b = -179.74775070509068, l = 165.42635167534144, h = -6380813.0164036015
b = -179.11308066513865, l = -117.19805900560566, h = -6380811.667063643
b = -133.35093113110167, l = 74.62996607668671, h = -6390711.164835336
b = -100.25284682566107, l = 95.26409447457623, h = -6408293.757247228
b = -98.54029230325516, l = -14.308108465553307, h = -6403826.691020528
b = 179.63991862920452, l = -169.8698303767244, h = -6380545.0872291755
b = -179.6583529937341, l = -45.90765577603128, h = -6379323.365138696
b = 178.24873371720085, l = -57.317425082293916, h = -6381234.706204565
b = -95.50735519209172, l = -98.29416378395155, h = -6412440.425758851
b = 99.3375665472549, l = 153.72587096366456, h = -6401919.3585581565
b = 96.20112913368267, l = -170.04835350712185, h = -6407430.937578274
b = -179.7064523342211, l = 165.15557181563955, h = -6380816.059203139
b = -179.13791877521425, l = -117.86965279282151, h = -6380812.53588689
b = -128.055486478744, l = 76.33716792795387, h = -6392771.630857179
b = -100.13878806101717, l = 95.16593468339451, h = -6408377.782115712
b = -98.59981289235645, l = -15.870410938344126, h = -6403912.495792354
b = 179.70171694740068, l = -169.98240668946343, h = -6380530.187322757
b = -179.67431238379933, l = -47.46659363883868, h = -6379330.380954197
b = 178.18230535191213, l = -57.405417197881086, h = -6381232.417829353
b = -96.13515666388221, l = -99.15654601847102, h = -6411355.211018614
b = 98.84315374279298, l = 156.8490435585822, h = -6402012.081140765
b = 96.92700684996815, l = -170.5803724175206, h = -6406743.504538259
b = -179.66243402840246, l = 164.88139591599116, h = -6380818.69930353
b = -179.16102998499085, l = -118.53825970956278, h = -6380813.285913717
b = -122.9932805718506, l = 78.13466820730437, h = -6394697.773784593
b = -100.02238258451375, l = 95.05478896902159, h = -6408462.713181338
b = -98.68684037814809, l = -17.372894930634935, h = -6403982.784431938
b = 179.758542730717, l = -170.0857712764808, h = -6380515.056757164
b = -179.69111244514664, l = -49.02528583908929, h = -6379338.063290022
b = 178.112999085509, l = -57.49634837138595, h = -6381229.552034877
b = -96.8137483140406, l = -99.99275585801232, h = -6410370.75156597
b = 98.46573314230523, l = 160.23865372462853, h = -6402065.131216088
b = 97.7184701035557, l = -171.10632094732122, h = -6406104.166375057
b = -179.61536967968902, l = 164.60416130129875, h = -6380820.950226716
b = -179.18246661696384, l = -119.20331568123373, h = -6380813.913434713
b = -118.3048049698267, l = 80.03052996131676, h = -6396408.395020267
b = -99.90382402684777, l = 94.9310828418286, h = -6408548.430746873
b = -98.79884994745694, l = -18.81689588300222, h = -6404038.58651125
b = 179.81104179060233, l = -170.18046497985745, h = -6380499.664950337
b = -179.70859183502395, l = -50.58257064578036, h = -6379346.43661141
b = 178.04075242313297, l = -57.590080148589, h = -6381226.138616491
b = -97.54579996736733, l = -100.80415199894898, h = -6409470.797806734
b = 98.21571295450933, l = 163.8952017121409, h = -6402072.838164072
b = 98.58036255664737, l = -171.62713549914855, h = -6405503.016082697
b = -179.5648304649962, l = 164.3234716934832, h = -6380822.81583375
b = -179.20234244775767, l = -119.86529179231694, h = -6380814.429097495
b = -114.07663023397039, l = 82.03223713280698, h = -6397874.617343704
b = -99.78316637403988, l = 94.79415355417737, h = -6408635.005803757
b = -98.93443806435009, l = -20.20469944332413, h = -6404080.432764783
b = 179.85997388498762, l = -170.2657596051509, h = -6380484.033760449
b = -179.72648333372877, l = -52.13533069480063, h = -6379355.505963764
b = 177.9654275236264, l = -57.686591074991505, h = -6381222.182441948
b = -98.3345413109452, l = -101.59299055767495, h = -6408640.925650535
b = 98.10626770012634, l = 167.80440191629174, h = -6402029.767437556
b = 99.51776402470529, l = -172.14291216330307, h = -6404930.844273106
b = -179.51044224591146, l = 164.03951235084995, h = -6380824.324954234
b = -179.22069286879912, l = -120.52382737378156, h = -6380814.811470692
b = -110.34848167197066, l = 84.14693742248893, h = -6399109.7459798055
b = -99.66023999668387, l = 94.64371084256514, h = -6408722.652517923
b = -99.09178242028665, l = -21.537358315064196, h = -6404109.269613995
b = 179.90602604902375, l = -170.34190102268545, h = -6380468.130159019
b = -179.74460860630603, l = -53.68214146307887, h = -6379365.283357483
b = 177.8867788348049, l = -57.78648276561463, h = -6381217.707212224
b = -99.18256249959681, l = -102.36036375088594, h = -6407869.222392434
b = 98.1561616734247, l = 171.94038530639696, h = -6401930.738772085
b = 100.5358001493518, l = -172.65335538841606, h = -6404379.257324485
b = -179.45178520338538, l = 163.75243863185884, h = -6380825.467056728
b = -179.23755282905486, l = -121.17912818067096, h = -6380815.053888701
b = -107.11904172636574, l = 86.38331511791439, h = -6400154.221983369
b = -99.53496720647746, l = 94.48010517955827, h = -6408811.567141573
b = -99.27043759806338, l = -22.817829572893668, h = -6404125.3837471325
b = 179.9500102996509, l = -170.40836779203906, h = -6380451.979420053
b = -179.76277317766903, l = -55.221334708763756, h = -6379375.771376095
b = 177.80470487969848, l = -57.88958674858147, h = -6381212.724472162
b = -100.09318392666124, l = -103.10790701992325, h = -6407144.45590169
b = 98.39194063955215, l = 176.26356489629293, h = -6401771.376460365
b = 101.64003409587862, l = -173.15757875336953, h = -6403839.952770622
b = -179.38841777214876, l = 163.46222652904868, h = -6380826.277720529
b = -179.25301482607597, l = -121.8312880746703, h = -6380815.158004847
b = -104.36032579597968, l = 88.74963628826504, h = -6401059.399389171
b = -99.40783826848428, l = 94.30293654094599, h = -6408901.35177509
b = -99.46843728136164, l = -24.0476544868812, h = -6404129.992256909
b = 179.99269529781162, l = -170.46489818105394, h = -6380435.556525015
b = -179.78083709893042, l = -56.751573157219916, h = -6379386.9789115
b = 177.71905980856937, l = -57.995937935135515, h = -6381207.265004618
b = -101.06900502688241, l = -103.8368240966672, h = -6406457.187066487
b = 98.8486783471019, l = -179.27777810420693, h = -6401548.673705812
b = 102.83533789507014, l = -173.6568858550901, h = -6403305.2255425025
b = -179.31984259238587, l = 163.1691426184889, h = -6380826.770501832
b = -179.2671034789662, l = -122.48021304095762, h = -6380815.120998795
b = -102.02697365628825, l = 91.25458872439806, h = -6401877.36847549
b = -99.27810194553466, l = 94.11185201733964, h = -6408992.864556939
b = -99.68487575554315, l = -25.228877024311412, h = -6404123.751932463
b = -179.96507084320825, l = -170.51138296133774, h = -6380418.87805029
b = -179.79867997770765, l = -58.27006889931853, h = -6379398.8985976605
b = 177.62966144080323, l = -58.10569548669475, h = -6381201.334419279
b = -102.11297882924228, l = -104.5482340478295, h = -6405798.405000199
b = 99.57519866359705, l = -174.74877655707613, h = -6401259.216699429
b = 104.12773001774484, l = -174.1505545114765, h = -6402766.972204709
b = -179.24555635204652, l = 162.87277433674046, h = -6380826.960932647
b = -179.2798686605149, l = -123.12580726152288, h = -6380814.939552778
b = -100.07022811074567, l = 93.90484844941962, h = -6402653.869736949
b = -99.14645566020059, l = 93.90671501412572, h = -6409085.540188088
b = -99.91944513462056, l = -26.363866313709984, h = -6404107.057014395
b = -179.9224167177845, l = -170.54765896842315, h = -6380401.952950941
b = -179.81618326356772, l = -59.77628330485263, h = -6379411.537917994
b = 177.53628716113047, l = -58.2191656590845, h = -6381194.972008981
b = -103.22774104107967, l = -105.24334323664003, h = -6405160.073765973
b = 100.63882187387796, l = -170.21660940387085, h = -6400895.979356462
b = 105.52186200036094, l = -174.6387885478275, h = -6402217.651118657
b = -179.16499797127207, l = 162.57350586671333, h = -6380826.888542156
b = -179.29135294236755, l = -123.7683895961139, h = -6380814.599118202
b = -98.43861618089578, l = 96.70797975248081, h = -6403428.136740515
b = -99.01231311959083, l = 93.68746335679995, h = -6409180.09248808
b = -100.17179809006154, l = -27.454346074509136, h = -6404080.33808968
b = -179.87841478742627, l = -170.5735083149132, h = -6380384.7826755
b = -179.83325945848594, l = -61.26809540442528, h = -6379424.9015404945
b = 177.4388001907196, l = -58.33636065235378, h = -6381188.190331783
b = -179.19253687078466, l = -100.9705587126297, h = -6380394.273413605
b = -97.50857505195792, l = 98.66383017178667, h = -6403958.607362836
b = -98.9218504470684, l = 93.53284522259804, h = -6409243.914983822
b = -100.34926432094399, l = -28.15807969813012, h = -6404057.416216628
b = -179.8478715264656, l = -170.58477374601776, h = -6380373.200731563
b = -179.84440617458776, l = -62.25388615452224, h = -6379434.196205663
b = 177.37139920338328, l = -58.41672126979877, h = -6381183.453940896
b = -105.24913470038591, l = -106.3681151521863, h = -6404121.344349942
b = 103.41206315449608, l = -162.84881790533203, h = -6400079.1312931
b = 108.08283527513453, l = -175.43997144032633, h = -6401257.288890671
b = -179.01531622941175, l = 162.06811154515498, h = -6380826.250830958
b = -179.3076805423599, l = -124.83226099384528, h = -6380813.674465211
b = -96.31691608730785, l = 101.73189232023583, h = -6404795.1559823
b = -98.78430390016587, l = 93.28897807047582, h = -6409341.196704358
b = -92.80407119147223, l = -29.17937138440499, h = -6418980.549530804
b = 104.97888594594863, l = -160.01943089578734, h = -6399646.301364382
b = 109.19389905096541, l = -175.75601418114397, h = -6400850.9351737555
b = -178.94948981832718, l = 161.8636019622519, h = -6380825.844502434
b = -179.78251931102633, l = -170.5925567918052, h = -6380349.748571718
b = -179.86601239646467, l = -64.20390167366769, h = -6379453.732886472
b = 177.23044517536474, l = -58.58254357687196, h = -6381173.510533707
b = -179.20778906734773, l = -102.46597363339825, h = -6380370.611832491
b = -95.33546607405893, l = 104.96157606989088, h = -6405697.954476852
b = -98.64445648866455, l = 93.02953860344657, h = -6409440.608536935
b = -93.19491582319274, l = -30.16239453021203, h = -6417026.820800048
b = 107.96311048130208, l = -155.94921859452074, h = -6398821.085776953
b = 110.9559150804353, l = -176.2256548112064, h = -6400211.20371415
b = -178.84380671947557, l = 161.55463545974763, h = -6380825.123381354
b = -179.72852708662003, l = -170.58502338607042, h = -6380331.913840031
b = -179.88165804683564, l = -65.64485837484558, h = -6379469.202508061
b = 177.11921200531108, l = -58.711623743124406, h = -6381165.672391271
b = -179.2132663438021, l = -103.23593405162144, h = -6380358.987529407
b = -94.53017511715376, l = 108.35331602694457, h = -6406680.996758769
b = -98.50269040899371, l = 92.7542606183983, h = -6409541.910749818
b = -93.62798638085583, l = -31.107996910857516, h = -6415311.389899662
b = 111.86908848709362, l = -152.11989334077094, h = -6397689.169201166
b = 112.83271093456003, l = -176.6896061257689, h = -6399529.984695333
b = -178.7291391862365, l = 161.24278020318522, h = -6380824.311454902
b = -179.66907021943362, l = -170.56615901229102, h = -6380313.899796585
b = -179.89687119466058, l = -67.06684588263596, h = -6379485.359966619
b = 177.00288244173566, l = -58.84524384949927, h = -6381157.560041921
b = -179.21737154190492, l = -104.02081256048103, h = -6380347.530686635
b = 93.27818517833133, l = -177.98672874468235, h = -6403161.867659044
b = 114.14849572343465, l = -176.99622634939033, h = -6399049.80371436
b = -178.64734443185102, l = 161.03316344306023, h = -6380823.747600495
b = -179.62578330561777, l = -170.54690630338914, h = -6380301.800999425
b = -92.77086977755324, l = 91.19487197741822, h = -6410078.1944146305
b = -98.31063997393497, l = 92.36278127524291, h = -6409680.330443807
b = -94.2780530730459, l = -32.31531390775084, h = -6413327.95108683
b = -179.9789113494941, l = -147.42298052466177, h = -6378558.058214227
b = -179.91168097848126, l = -68.46856817955872, h = -6379502.186355686
b = 176.88117791625194, l = -58.983185717623805, h = -6381149.199024758
b = -179.22002701508447, l = -104.82031280575197, h = -6380336.254188416
b = 95.72186624706788, l = -175.8034834053961, h = -6401753.2601103475
b = -179.91760328997856, l = -26.93846052401628, h = -6380960.791320932
b = 176.8393893785249, l = -59.03016059542492, h = -6381146.367641552
b = -179.22060975925206, l = -105.09010341044043, h = -6380332.537058769
b = 96.81188096675426, l = -175.17529498286166, h = -6401366.250567328
b = -179.9219681392196, l = -27.143928846954584, h = -6380961.577255163
b = 176.796981232906, l = -59.077787297041546, h = -6381143.5157171525
b = -179.22101096260855, l = -105.36151640476588, h = -6380328.846992017
b = 98.07015928337053, l = -174.58674586933753, h = -6400990.649355089
b = -179.92635347221136, l = -27.34965217694301, h = -6380962.364206868
b = 176.75394993604908, l = -59.12590468813605, h = -6381140.64968651
b = -179.22126808206693, l = -105.63455662344975, h = -6380325.184220299
b = 99.51749078507403, l = -174.03349337501797, h = -6400608.768916175
b = -179.9308033839499, l = -27.55572655171358, h = -6380963.143438497
b = 176.71025653791952, l = -59.17458631259993, h = -6381137.758729669
b = -179.22133928814822, l = -105.90930071098808, h = -6380321.540208581
b = 101.17619176579946, l = -173.5141021228387, h = -6400201.778141874
b = -179.93527435662634, l = -27.762071111710608, h = -6380963.901712455
b = 176.66583986516113, l = -59.22360232084037, h = -6381134.8657634575
b = -179.22130695825928, l = -106.18561033008217, h = -6380317.933972712
b = 103.06797113539832, l = -173.0226560789021, h = -6399749.298999729
b = -179.93979580932637, l = -27.968681839794993, h = -6380964.661537653
b = 176.62080431466262, l = -59.27336389137221, h = -6381131.943262474
b = -179.22104845587478, l = -106.46338221220834, h = -6380314.345411673
b = 105.21408535957615, l = -172.55850773240334, h = -6399229.118188007
b = -179.94436804303493, l = -28.175573629317306, h = -6380965.400743972
b = 176.57508985212803, l = -59.32364110042855, h = -6381129.014123945
b = -179.22068292989488, l = -106.74305388827426, h = -6380310.789153621
b = 107.63805364662903, l = -172.1174073375023, h = -6398616.209655555
b = -179.9489768486895, l = -28.382917324818525, h = -6380966.146635406
b = 176.52861408394705, l = -59.374540588602756, h = -6381126.092243027
b = -179.2201278457836, l = -107.02420078303774, h = -6380307.251461624
b = 110.35006094601538, l = -171.69670372153323, h = -6397887.317846629
b = -179.95362266647737, l = -28.590552063276984, h = -6380966.872358403
b = 176.48147974087942, l = -59.425767276768966, h = -6381123.148233921
b = -179.21939022737027, l = -107.30692568250663, h = -6380303.754903928
b = 113.36243534918435, l = -171.29679062018732, h = -6397018.526170246
b = -179.95830592300774, l = -28.798387312376548, h = -6380967.586869941
b = 176.43362937206237, l = -59.477799440132934, h = -6381120.207018848
b = -179.21853803582036, l = -107.59113509814956, h = -6380300.277297213
b = 116.66890992138754, l = -170.91531262534625, h = -6395993.407541424
b = -179.9630415063974, l = -29.006507021882918, h = -6380968.303901907
b = 176.38501010559912, l = -59.53044382848004, h = -6381117.2554520685
b = -179.2174629920788, l = -107.87692589762857, h = -6380296.842486715
b = 120.2530930927298, l = -170.54926322898422, h = -6394804.44828905
b = -179.96781547725115, l = -29.2149341204167, h = -6380969.001316257
b = 176.33566587928917, l = -59.58356678704586, h = -6381114.320307824
b = -179.21627279709756, l = -108.1644625647261, h = -6380293.430956964
b = 124.08527210586354, l = -170.19734324860678, h = -6393457.481884381
b = -179.972628355626, l = -29.423652955067755, h = -6380969.701648726
b = 176.28551943228203, l = -59.63731621022055, h = -6381111.379630649
b = -179.21489625975477, l = -108.45358291226056, h = -6380290.063181517
b = 128.10992932499045, l = -169.85995752123495, h = -6391979.209196173
b = -179.9774951242071, l = -29.632689676428264, h = -6380970.382759899
b = 176.23466480143665, l = -59.691800840455336, h = -6381108.438860127
b = -179.21336276558014, l = -108.74420355062387, h = -6380286.717340915
b = 132.26155769688938, l = -169.5359424170973, h = -6390412.419955242
b = -179.98240196349016, l = -29.84202529324461, h = -6380971.0671893535
b = 176.1829040149784, l = -59.74658318261906, h = -6381105.511434109
b = -179.21163691508687, l = -109.03649628638631, h = -6380283.407139706
b = 136.4591894437023, l = -169.22276882811573, h = -6388815.364621704
b = -179.98734952853934, l = -30.051587964301017, h = -6380971.741471633
b = 176.13042249653384, l = -59.80221650772038, h = -6381102.596577571
b = -179.2097588215857, l = -109.3301212096929, h = -6380280.138983038
b = 140.61905994473224, l = -168.92077124047626, h = -6387251.370757455
b = -179.9923385027257, l = -30.261484469355253, h = -6380972.39712941
b = 176.07718473693632, l = -59.85860885159148, h = -6381099.689173486
b = -179.04526040288903, l = -109.6252556676763, h = -6380278.832438698
b = -90.32663506339296, l = 102.72592443873067, h = -6462085.895071503
b = -97.35332983170893, l = 90.07338616644633, h = -6410403.66263713
b = -98.82062270387306, l = -37.322764095948564, h = -6406901.793134563
b = 148.52198370000986, l = -168.34643486512581, h = -6384443.760682724
b = 130.62798653481926, l = 179.93270918597787, h = -6392692.8185551325
b = -177.4655517976623, l = 158.7617001090481, h = -6380823.364994879
b = -179.87368669704972, l = -168.46430623302112, h = -6380176.279321552
b = -163.75349978343755, l = 82.28822794198604, h = -6382367.902214874
b = -97.24864745611768, l = 89.78744116569852, h = -6410487.451998161
b = -99.47258406035616, l = -37.7902810409724, h = -6406399.582745765
b = -179.60862430261705, l = -130.25479084409247, h = -6378683.778983311
b = 179.9876646522192, l = -77.65869824518839, h = -6379637.740475788
b = 175.85541108205626, l = -60.089892091816566, h = -6381088.264694248
b = -179.197713688052, l = -110.82141870130769, h = -6380264.326414049
b = -91.6677502600092, l = 143.75060215646857, h = -6417692.0361859575
b = 91.84629059447106, l = 88.60692838786414, h = -6415504.488557541
b = -177.23754655096684, l = 158.42692993993734, h = -6380825.562728945
b = -178.7272682334587, l = -169.86485889296588, h = -6380156.773810683
b = 179.97748228358367, l = -78.4738104882044, h = -6379652.1486321185
b = -98.67099575506471, l = 70.26156080319268, h = -6408977.087241675
b = -100.5252702502693, l = -38.47200111492996, h = -6405679.16612383
b = 171.25086190408746, l = -128.65712364946242, h = -6379204.306127568
b = 177.03208353790615, l = 179.23985452142344, h = -6379690.211472269
b = 175.67994170741497, l = -60.27055027315852, h = -6381079.984891068
b = -179.18834566644523, l = -111.73431478610944, h = -6380255.304668525
b = -91.60669980295316, l = 147.75036112858155, h = -6418598.682545829
b = 91.54077737661774, l = 87.20414374029357, h = -6417518.6431747535
b = -176.99155374770834, l = 158.08958114924894, h = -6380828.8408259945
b = -178.54261825231262, l = -169.71556448063814, h = -6380139.971510634
b = 179.96168486283048, l = -79.67671775971542, h = -6379674.213684453
b = -98.32057416198403, l = 71.18964762844797, h = -6409244.447654714
b = -101.6727189177069, l = -39.13327031494051, h = -6404988.454702386
b = 174.04097251994807, l = -127.22192245267371, h = -6378958.199772503
b = 177.5831091821221, l = 178.83130621588558, h = -6379698.177079918
b = 175.49592026535657, l = -60.45743043292116, h = -6381072.053950645
b = -179.17734510501703, l = -112.65981293016425, h = -6380246.669883711
b = 89.88074123185096, l = 151.65467393212813, h = -6139414.756763876
b = 177.74439740996982, l = 178.69616829890975, h = -6379702.403611134
b = 175.43267671674343, l = -60.52116315926558, h = -6381069.502627131
b = -179.1732912322962, l = -112.97126755028839, h = -6380243.877311941
b = 89.89060250425267, l = 152.9311664982842, h = -6114291.237994957
b = 177.8956300197101, l = 178.56190806952935, h = -6379707.26073902
b = 175.3683528564761, l = -60.58558458008645, h = -6381067.009178328
b = -179.16905974249926, l = -113.28412927025879, h = -6380241.1256577
b = 89.90124262873836, l = 154.1936372724354, h = -6081570.440520554
b = 178.03737971236635, l = 178.42776957867005, h = -6379712.673044782
b = 175.30302043289893, l = -60.6508841237482, h = -6381064.5668918295
b = -178.3852362108064, l = -113.5982862267573, h = -6380251.449601892
b = 89.73304115398113, l = 119.50107323612261, h = -6343038.611336897
b = 178.1700844121185, l = 178.29448450015406, h = -6379718.575463602
b = 175.2367196477201, l = -60.71681328687644, h = -6381062.194430499
b = -178.32386861928197, l = -113.91373106597146, h = -6380250.123818244
b = 89.73657345193205, l = 121.31365415036744, h = -6343581.45828365
b = 178.29435412900818, l = 178.1616598302086, h = -6379724.896201862
b = 175.16922225866418, l = -60.783539976071914, h = -6381059.882312999
b = -178.26085804459674, l = -114.23056852028277, h = -6380248.92851586
b = 89.74010707590942, l = 123.21674722212374, h = -6344080.566411447
b = 178.41070151270532, l = 178.02965951340292, h = -6379731.591977502
b = 175.10069426463863, l = -60.851096776557746, h = -6381057.645060815
b = -178.19626193333863, l = -114.54879510761475, h = -6380247.867092854
b = 89.74361311046222, l = 125.21703414090442, h = -6344537.866292325
b = 178.51941773430764, l = 177.8977465025784, h = -6379738.620733583
b = 175.03120207686976, l = -60.91939270429436, h = -6381055.4722645935
b = -178.13008424769708, l = -114.86829150506118, h = -6380246.953292252
b = 89.74705598527642, l = 127.31123597439348, h = -6344954.471649023
b = 178.62113445097944, l = 177.76663593246238, h = -6379745.936773234
b = 174.9605182760676, l = -60.98853958650058, h = -6381053.391239096
b = -178.06223258671923, l = -115.18880010301592, h = -6380246.190084734
b = 89.750395628316, l = 129.50206534686157, h = -6345330.253726998
b = 178.7162537315124, l = 177.6362982746573, h = -6379753.494543982
b = 174.88858339652322, l = -61.05844677427696, h = -6381051.400843603
b = -177.99277438802062, l = -115.5109283755321, h = -6380245.580210615
b = 89.75359765603427, l = 131.7874164808774, h = -6345666.32946365
b = 178.805115066719, l = 177.50637783897974, h = -6379761.2737869965
b = 174.8156147959724, l = -61.12912513512574, h = -6381049.489224604
